Model,MSO24
Label,
Waveform Type,ANALOG
Horizontal Units,s
Sample Interval,4.00000000e-10
Record Length,100
Zero Index,50.18750000
Vertical Units,V

Labels,
TIME,CH4
-2.00750000e-08,4.00000000e-02
-1.96750000e-08,4.00000000e-02
-1.92750000e-08,4.00000000e-02
-1.88750000e-08,4.00000000e-02
-1.84750000e-08,4.00000000e-02
-1.80750000e-08,4.00000000e-02
-1.76750000e-08,4.00000000e-02
-1.72750000e-08,4.00000000e-02
-1.68750000e-08,4.00000000e-02
-1.64750000e-08,4.00000000e-02
-1.60750000e-08,4.00000000e-02
-1.56750000e-08,4.00000000e-02
-1.52750000e-08,4.00000000e-02
-1.48750000e-08,4.00000000e-02
-1.44750000e-08,4.00000000e-02
-1.40750000e-08,4.00000000e-02
-1.36750000e-08,4.00000000e-02
-1.32750000e-08,4.00000000e-02
-1.28750000e-08,4.00000000e-02
-1.24750000e-08,4.00000000e-02
-1.20750000e-08,4.00000000e-02
-1.16750000e-08,4.00000000e-02
-1.12750000e-08,4.00000000e-02
-1.08750000e-08,4.00000000e-02
-1.04750000e-08,4.00000000e-02
-1.00750000e-08,4.00000000e-02
-9.67500000e-09,4.00000000e-02
-9.27500000e-09,4.00000000e-02
-8.87500000e-09,4.00000000e-02
-8.47500000e-09,4.00000000e-02
-8.07500000e-09,4.00000000e-02
-7.67500000e-09,4.00000000e-02
-7.27500000e-09,4.00000000e-02
-6.87500000e-09,4.00000000e-02
-6.47500000e-09,8.00000000e-02
-6.07500000e-09,8.00000000e-02
-5.67500000e-09,8.00000000e-02
-5.27500000e-09,8.00000000e-02
-4.87500000e-09,8.00000000e-02
-4.47500000e-09,8.00000000e-02
-4.07500000e-09,4.00000000e-02
-3.67500000e-09,8.00000000e-02
-3.27500000e-09,8.00000000e-02
-2.87500000e-09,8.00000000e-02
-2.47500000e-09,1.20000000e-01
-2.07500000e-09,2.00000000e-01
-1.67500000e-09,2.80000000e-01
-1.27500000e-09,4.40000000e-01
-8.75000000e-10,6.00000000e-01
-4.75000000e-10,8.00000000e-01
-7.50000000e-11,9.60000000e-01
3.25000000e-10,1.16000000e+00
7.25000000e-10,1.32000000e+00
1.12500000e-09,1.44000000e+00
1.52500000e-09,1.56000000e+00
1.92500000e-09,1.64000000e+00
2.32500000e-09,1.68000000e+00
2.72500000e-09,1.72000000e+00
3.12500000e-09,1.76000000e+00
3.52500000e-09,1.76000000e+00
3.92500000e-09,1.76000000e+00
4.32500000e-09,1.80000000e+00
4.72500000e-09,1.80000000e+00
5.12500000e-09,1.84000000e+00
5.52500000e-09,1.88000000e+00
5.92500000e-09,1.92000000e+00
6.32500000e-09,1.96000000e+00
6.72500000e-09,2.00000000e+00
7.12500000e-09,2.04000000e+00
7.52500000e-09,2.08000000e+00
7.92500000e-09,2.12000000e+00
8.32500000e-09,2.16000000e+00
8.72500000e-09,2.20000000e+00
9.12500000e-09,2.20000000e+00
9.52500000e-09,2.24000000e+00
9.92500000e-09,2.28000000e+00
1.03250000e-08,2.32000000e+00
1.07250000e-08,2.32000000e+00
1.11250000e-08,2.36000000e+00
1.15250000e-08,2.40000000e+00
1.19250000e-08,2.40000000e+00
1.23250000e-08,2.44000000e+00
1.27250000e-08,2.44000000e+00
1.31250000e-08,2.44000000e+00
1.35250000e-08,2.48000000e+00
1.39250000e-08,2.48000000e+00
1.43250000e-08,2.48000000e+00
1.47250000e-08,2.48000000e+00
1.51250000e-08,2.48000000e+00
1.55250000e-08,2.52000000e+00
1.59250000e-08,2.52000000e+00
1.63250000e-08,2.56000000e+00
1.67250000e-08,2.56000000e+00
1.71250000e-08,2.60000000e+00
1.75250000e-08,2.60000000e+00
1.79250000e-08,2.60000000e+00
1.83250000e-08,2.64000000e+00
1.87250000e-08,2.64000000e+00
1.91250000e-08,2.64000000e+00
1.95250000e-08,2.64000000e+00
